Country Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,-2.451154222,-2.450971229,-2.450788237,-2.450605244,-2.450422252,-2.450239259,-2.450056266,-2.449873274,-2.449690281,-2.449507289,-2.449324296,-2.449141304,-2.448958311,-2.448775319,-2.448592326,-2.448409334,-2.448226341,-2.448043349,-2.447860356,-2.447677363,-2.447494371,-2.447311378,-2.447128386,-2.446945393,-2.544467449,-2.555204635,-2.565912485,-2.567164183,-2.56841588,-2.389610519,-2.211293697,-2.262797117,-2.295481443,-2.088421822,-2.23109436,-2.396287441,-2.689352989,-2.704449892,-2.549819231,-2.48312521,-2.392416954,-2.503811598,-2.45806694,-2.443285542,-2.44310255,-2.442919557,-2.442736565,-2.442553572
Albania,-1.710087314,-1.66782566,-1.625564006,-1.583302352,-1.541040698,-1.498779044,-1.45651739,-1.414255736,-1.371994082,-1.329732428,-1.287470774,-1.24520912,-1.202947466,-1.160685812,-1.118424158,-1.076162504,-1.03390085,-0.991639196,-0.949377542,-0.907115888,-0.864854234,-0.82259258,-0.780330926,-0.738069272,-0.431562215,-0.546123144,-0.660371065,-0.653521001,-0.646670938,-0.516811231,-0.387306333,-0.330530107,-0.449789017,-0.493627429,-0.485085338,-0.198142901,-0.033116732,-0.051232554,-0.191314235,-0.288555741,-0.158043861,0.054947209,0.47325477,0.107163808,0.149425462,0.191687116,0.23394877,0.276210424
Algeria,-2.869547779,-2.82597346,-2.782399141,-2.738824822,-2.695250503,-2.651676185,-2.608101866,-2.564527547,-2.520953228,-2.47737891,-2.433804591,-2.390230272,-2.346655953,-2.303081635,-2.259507316,-2.215932997,-2.172358678,-2.12878436,-2.085210041,-2.041635722,-1.998061403,-1.954487084,-1.910912766,-1.867338447,-1.859567761,-1.910608043,-1.96150887,-1.732709765,-1.503910661,-1.601004622,-1.6978333,-1.77806592,-1.371520162,-0.929427505,-1.119556189,-1.125347614,-1.092846394,-1.21522963,-1.262490869,-1.364659786,-1.318566084,-1.184038281,-1.171418428,-0.995852072,-0.952277753,-0.908703434,-0.865129115,-0.821554797
American Samoa,-0.109718986,-0.081448926,-0.053178865,-0.024908805,0.003361255,0.031631316,0.059901376,0.088171437,0.116441497,0.144711557,0.172981618,0.201251678,0.229521738,0.257791799,0.286061859,0.314331919,0.34260198,0.37087204,0.399142101,0.427412161,0.455682221,0.483952282,0.512222342,0.540492402,0.568762463,0.597032523,0.625302584,0.653572644,0.681842704,0.710112765,0.738382825,0.766652885,0.76927048,0.780441225,0.755365133,1.003087878,1.020216584,0.966377914,0.944275856,0.976814568,0.986685336,0.970003188,1.126467586,1.10589361,1.13416367,1.16243373,1.190703791,1.218973851
Andorra,0.78940664,0.804299627,0.819192614,0.834085601,0.848978588,0.863871576,0.878764563,0.89365755,0.908550537,0.923443524,0.938336511,0.953229498,0.968122485,0.983015473,0.99790846,1.012801447,1.027694434,1.042587421,1.057480408,1.072373395,1.087266382,1.10215937,1.117052357,1.131945344,1.10697186,1.110640173,1.114298463,1.109449685,1.104600906,1.159860046,1.214968204,1.462087154,1.433893204,1.416849852,1.402005911,1.384581327,1.377571583,1.316976786,1.30648458,1.338130832,1.32358861,1.322073221,1.331596732,1.429805086,1.444698073,1.459591061,1.474484048,1.489377035
Angola,-5.52206777,-5.388187153,-5.254306535,-5.120425917,-4.9865453,-4.852664682,-4.718784065,-4.584903447,-4.45102283,-4.317142212,-4.183261595,-4.049380977,-3.915500359,-3.781619742,-3.647739124,-3.513858507,-3.379977889,-3.246097272,-3.112216654,-2.978336036,-2.844455419,-2.710574801,-2.576694184,-2.442813566,-2.10554719,-2.225540531,-2.345206022,-2.215333343,-2.085460663,-1.849998252,-1.615179181,-1.02709353,-1.039207458,-0.893931925,-0.540907264,-0.696600735,-0.349961519,-0.369803935,-0.216324866,-0.360322207,-0.380921721,-0.385451436,-0.2733486,0.234798785,0.368679403,0.50256002,0.636440638,0.770321255
Anguilla,-0.744202823,-0.689972032,-0.635741241,-0.581510451,-0.52727966,-0.473048869,-0.418818078,-0.364587287,-0.310356497,-0.256125706,-0.201894915,-0.147664124,-0.093433334,-0.039202543,0.015028248,0.069259039,0.12348983,0.17772062,0.231951411,0.286182202,0.340412993,0.394643784,0.448874574,0.503105365,0.557336156,0.611566947,0.665797738,0.720028528,0.774259319,0.82849011,0.882720901,0.936951691,0.820498705,1.235093474,1.158987641,1.153593898,1.16121912,0.92013979,1.436226964,1.607893944,1.532329917,1.593967199,1.26575017,1.587721181,1.641951972,1.696182762,1.750413553,1.804644344
Antigua and Barbuda,0.153755127,0.173966997,0.194178867,0.214390737,0.234602607,0.254814477,0.275026346,0.295238216,0.315450086,0.335661956,0.355873826,0.376085696,0.396297566,0.416509435,0.436721305,0.456933175,0.477145045,0.497356915,0.517568785,0.537780654,0.557992524,0.578204394,0.598416264,0.618628134,0.646916091,0.649526198,0.652129173,0.647944748,0.643760324,0.680943204,0.718024492,0.853680193,1.146028161,0.853083849,0.840201318,0.83273375,0.844783962,0.745509148,0.931939363,0.97970289,0.993766606,0.976155758,0.957360625,1.022865531,1.043077401,1.06328927,1.08350114,1.10371301
Argentina,-0.6191487,-0.604209101,-0.589269501,-0.574329902,-0.559390303,-0.544450703,-0.529511104,-0.514571504,-0.499631905,-0.484692306,-0.469752706,-0.454813107,-0.439873508,-0.424933908,-0.409994309,-0.395054709,-0.38011511,-0.365175511,-0.350235911,-0.335296312,-0.320356713,-0.305417113,-0.290477514,-0.275537914,0.023260698,-0.079350267,-0.181680873,-0.066720355,0.048240162,-0.405623681,-0.858247459,-0.380413413,-0.57073909,-0.013874802,0.017329039,0.122657634,-0.073044546,-0.235124499,-0.087247983,0.139425218,0.08381284,0.045392919,0.075252004,0.023254073,0.038193672,0.053133272,0.068072871,0.083012471
Armenia,-1.791710658,-1.744542739,-1.69737482,-1.650206901,-1.603038982,-1.555871064,-1.508703145,-1.461535226,-1.414367307,-1.367199388,-1.320031469,-1.27286355,-1.225695631,-1.178527712,-1.131359793,-1.084191874,-1.037023955,-0.989856036,-0.942688117,-0.895520198,-0.848352279,-0.80118436,-0.754016441,-0.706848522,-0.51997745,-0.641097369,-0.761886358,-0.782420129,-0.802953899,-0.581460756,-0.360572785,0.206368685,-0.122763135,-0.062179185,-0.279433936,0.110335104,-0.016254587,0.229834169,0.027459534,-0.088933989,0.114762343,0.068393677,-0.205437258,0.236509857,0.283677776,0.330845695,0.378013614,0.425181533
