Country Name,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Afghanistan,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.544467449,-2.555204635,-2.565912485,-2.567164183,-2.56841588,-2.389610519,-2.211293697,-2.262797117,-2.295481443,-2.088421822,-2.23109436,-2.396287441,-2.689352989,-2.704449892,-2.549819231,-2.48312521,-2.392416954,-2.503811598,-2.45806694,-2.45806694,-2.45806694,-2.45806694,-2.45806694,-2.45806694
Albania,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.431562215,-0.546123144,-0.660371065,-0.653521001,-0.646670938,-0.516811231,-0.387306333,-0.330530107,-0.449789017,-0.493627429,-0.485085338,-0.198142901,-0.033116732,-0.051232554,-0.191314235,-0.288555741,-0.158043861,0.054947209,0.47325477,0.47325477,0.47325477,0.47325477,0.47325477,0.47325477
Algeria,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.859567761,-1.910608043,-1.96150887,-1.732709765,-1.503910661,-1.601004622,-1.6978333,-1.77806592,-1.371520162,-0.929427505,-1.119556189,-1.125347614,-1.092846394,-1.21522963,-1.262490869,-1.364659786,-1.318566084,-1.184038281,-1.171418428,-1.171418428,-1.171418428,-1.171418428,-1.171418428,-1.171418428
American Samoa,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.76927048,0.780441225,0.755365133,1.003087878,1.020216584,0.966377914,0.944275856,0.976814568,0.986685336,0.970003188,1.126467586,1.126467586,1.126467586,1.126467586,1.126467586,1.126467586
Andorra,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.10697186,1.110640173,1.114298463,1.109449685,1.104600906,1.159860046,1.214968204,1.462087154,1.433893204,1.416849852,1.402005911,1.384581327,1.377571583,1.316976786,1.30648458,1.338130832,1.32358861,1.322073221,1.331596732,1.331596732,1.331596732,1.331596732,1.331596732,1.331596732
Angola,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.10554719,-2.225540531,-2.345206022,-2.215333343,-2.085460663,-1.849998252,-1.615179181,-1.02709353,-1.039207458,-0.893931925,-0.540907264,-0.696600735,-0.349961519,-0.369803935,-0.216324866,-0.360322207,-0.380921721,-0.385451436,-0.2733486,-0.2733486,-0.2733486,-0.2733486,-0.2733486,-0.2733486
Anguilla,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,0.820498705,1.235093474,1.158987641,1.153593898,1.16121912,0.92013979,1.436226964,1.607893944,1.532329917,1.593967199,1.26575017,1.26575017,1.26575017,1.26575017,1.26575017,1.26575017
Antigua and Barbuda,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.646916091,0.649526198,0.652129173,0.647944748,0.643760324,0.680943204,0.718024492,0.853680193,1.146028161,0.853083849,0.840201318,0.83273375,0.844783962,0.745509148,0.931939363,0.97970289,0.993766606,0.976155758,0.957360625,0.957360625,0.957360625,0.957360625,0.957360625,0.957360625
Argentina,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,0.023260698,-0.079350267,-0.181680873,-0.066720355,0.048240162,-0.405623681,-0.858247459,-0.380413413,-0.57073909,-0.013874802,0.017329039,0.122657634,-0.073044546,-0.235124499,-0.087247983,0.139425218,0.08381284,0.045392919,0.075252004,0.075252004,0.075252004,0.075252004,0.075252004,0.075252004
Armenia,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.51997745,-0.641097369,-0.761886358,-0.782420129,-0.802953899,-0.581460756,-0.360572785,0.206368685,-0.122763135,-0.062179185,-0.279433936,0.110335104,-0.016254587,0.229834169,0.027459534,-0.088933989,0.114762343,0.068393677,-0.205437258,-0.205437258,-0.205437258,-0.205437258,-0.205437258,-0.205437258
