Country Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,-1.735273153,-1.736774601,-1.738276049,-1.739777497,-1.741278944,-1.742780392,-1.74428184,-1.745783288,-1.747284736,-1.748786184,-1.750287632,-1.75178908,-1.753290527,-1.754791975,-1.756293423,-1.757794871,-1.759296319,-1.760797767,-1.762299215,-1.763800662,-1.76530211,-1.766803558,-1.768305006,-1.769806454,-1.755630732,-1.747078776,-1.738550186,-1.754167199,-1.769784212,-1.77088005,-1.771972895,-1.671004057,-1.710012555,-1.72299242,-1.955725074,-1.924358368,-1.946835995,-1.908901095,-1.901093006,-1.934632897,-1.72303009,-1.671192646,-1.533755422,-1.799835411,-1.801336859,-1.802838307,-1.804339755,-1.805841203
Albania,-2.26565228,-2.221157879,-2.176663477,-2.132169076,-2.087674675,-2.043180274,-1.998685873,-1.954191471,-1.90969707,-1.865202669,-1.820708268,-1.776213866,-1.731719465,-1.687225064,-1.642730663,-1.598236262,-1.55374186,-1.509247459,-1.464753058,-1.420258657,-1.375764256,-1.331269854,-1.286775453,-1.242281052,-0.933233917,-1.068167575,-1.202732563,-1.223606646,-1.244480729,-1.0828914,-0.921743572,-0.876727164,-0.756730676,-0.805466056,-0.730364561,-0.698921084,-0.636627913,-0.532582879,-0.435759485,-0.485332608,-0.569308341,-0.574120343,-0.370606244,-0.352393028,-0.307898626,-0.263404225,-0.218909824,-0.174415423
Algeria,-1.718583169,-1.691479596,-1.664376023,-1.63727245,-1.610168877,-1.583065305,-1.555961732,-1.528858159,-1.501754586,-1.474651013,-1.447547441,-1.420443868,-1.393340295,-1.366236722,-1.339133149,-1.312029576,-1.284926004,-1.257822431,-1.230718858,-1.203615285,-1.176511712,-1.149408139,-1.122304567,-1.095200994,-1.192538023,-1.184755542,-1.176994324,-1.171858788,-1.166723251,-0.878395654,-0.590855837,-0.54437536,-0.554133654,-0.703649223,-0.644485116,-0.711783886,-0.706405878,-0.758093834,-0.749080479,-0.774966717,-0.753692389,-0.663249969,-0.733102083,-0.553129537,-0.526025965,-0.498922392,-0.471818819,-0.444715246
American Samoa,0.235606142,0.260127814,0.284649486,0.309171159,0.333692831,0.358214503,0.382736175,0.407257847,0.43177952,0.456301192,0.480822864,0.505344536,0.529866208,0.55438788,0.578909553,0.603431225,0.627952897,0.652474569,0.676996241,0.701517914,0.726039586,0.750561258,0.77508293,0.799604602,0.824126274,0.848647947,0.873169619,0.897691291,0.922212963,0.946734635,0.971256308,0.99577798,0.851433694,1.144867301,1.125530481,1.152661085,1.161918044,1.170364738,1.158515692,1.131743908,1.13766551,1.143585324,1.393702388,1.290038046,1.314559718,1.33908139,1.363603062,1.388124735
Andorra,0.905392132,0.916262673,0.927133214,0.938003754,0.948874295,0.959744836,0.970615376,0.981485917,0.992356458,1.003226999,1.014097539,1.02496808,1.035838621,1.046709161,1.057579702,1.068450243,1.079320783,1.090191324,1.101061865,1.111932405,1.122802946,1.133673487,1.144544027,1.155414568,1.204236269,1.238910062,1.273489118,1.306724072,1.339959025,1.307520599,1.275170803,1.068213463,1.21767354,1.02079916,0.938042223,1.216534972,1.219402075,1.248229265,1.232839942,1.42713058,1.429290652,1.43140316,1.622710586,1.372825382,1.383695923,1.394566463,1.405437004,1.416307545
Angola,-2.478121128,-2.446793485,-2.415465841,-2.384138198,-2.352810554,-2.321482911,-2.290155268,-2.258827624,-2.227499981,-2.196172337,-2.164844694,-2.133517051,-2.102189407,-2.070861764,-2.03953412,-2.008206477,-1.976878834,-1.94555119,-1.914223547,-1.882895903,-1.85156826,-1.820240617,-1.788912973,-1.75758533,-1.633457899,-1.666414222,-1.6992805,-1.666214347,-1.633148193,-1.619491816,-1.60587275,-1.529795289,-1.459061503,-1.442705393,-1.296970487,-1.395932198,-1.396865726,-1.240468502,-1.255794406,-1.247869849,-1.276352167,-1.279619694,-1.096554041,-1.131032462,-1.099704819,-1.068377175,-1.037049532,-1.005721888
Anguilla,4.183882421,4.107542906,4.031203392,3.954863877,3.878524363,3.802184848,3.725845334,3.649505819,3.573166305,3.49682679,3.420487276,3.344147761,3.267808247,3.191468733,3.115129218,3.038789704,2.962450189,2.886110675,2.80977116,2.733431646,2.657092131,2.580752617,2.504413102,2.428073588,2.351734073,2.275394559,2.199055044,2.12271553,2.046376015,1.970036501,1.893696987,1.817357472,1.156569242,1.671780944,1.64908576,1.690954328,1.709137797,1.439416766,1.422926426,1.391949654,1.398365259,1.402684808,0.019653277,0.901283298,0.824943784,0.748604269,0.672264755,0.595925241
Antigua and Barbuda,1.67820198,1.654897893,1.631593806,1.608289719,1.584985632,1.561681545,1.538377458,1.515073371,1.491769284,1.468465197,1.44516111,1.421857023,1.398552936,1.375248849,1.351944762,1.328640675,1.305336588,1.282032501,1.258728414,1.235424327,1.21212024,1.188816153,1.165512066,1.142207979,1.005333662,1.026245791,1.047100782,1.02775234,1.008403897,1.013317503,1.018217683,1.000826597,0.913054347,0.676470935,0.997112095,0.982756555,0.965481639,1.000922084,0.985227287,0.968332112,0.969960809,0.862034917,-0.194375917,0.676126239,0.652822152,0.629518065,0.606213978,0.582909891
Argentina,0.851094699,0.809235003,0.767375306,0.72551561,0.683655913,0.641796217,0.59993652,0.558076824,0.516217127,0.474357431,0.432497734,0.390638038,0.348778341,0.306918645,0.265058949,0.223199252,0.181339556,0.139479859,0.097620163,0.055760466,0.01390077,-0.027958927,-0.069818623,-0.11167832,0.037218049,0.000525125,-0.036067545,-0.11792843,-0.199789315,-0.509040307,-0.817446351,-0.820463836,-0.826378584,-0.581665337,-0.602514386,-0.633144617,-0.70004636,-0.7088902,-0.620729744,-0.587500155,-0.714045763,-0.731716871,-0.905605733,-0.948872249,-0.990731946,-1.032591642,-1.074451339,-1.116311035
Armenia,-0.509657867,-0.506485423,-0.503312978,-0.500140534,-0.49696809,-0.493795646,-0.490623201,-0.487450757,-0.484278313,-0.481105869,-0.477933424,-0.47476098,-0.471588536,-0.468416092,-0.465243647,-0.462071203,-0.458898759,-0.455726315,-0.45255387,-0.449381426,-0.446208982,-0.443036537,-0.439864093,-0.436691649,-0.491841406,-0.423515782,-0.35537684,-0.407980323,-0.460583806,-0.419872114,-0.379271656,-0.325318456,-0.446412385,-0.369204104,-0.492058426,-0.453808963,-0.292541444,-0.45055747,-0.467635155,-0.424361795,-0.398126364,-0.314757943,-0.321152449,-0.373242764,-0.37007032,-0.366897875,-0.363725431,-0.360552987
Aruba,-0.644583298,-0.596885309,-0.549187321,-0.501489333,-0.453791344,-0.406093356,-0.358395367,-0.310697379,-0.26299939,-0.215301402,-0.167603414,-0.119905425,-0.072207437,-0.024509448,0.02318854,0.070886528,0.118584517,0.166282505,0.213980494,0.261678482,0.309376471,0.357074459,0.404772447,0.452470436,0.500168424,0.547866413,0.595564401,0.64326239,0.690960378,0.738658366,0.786356355,0.834054343,0.927717566,0.88141042,0.863752902,0.883514404,0.888308227,1.419553876,1.420508742,1.336915016,1.319356799,1.302940607,1.078686476,1.406430204,1.454128193,1.501826181,1.54952417,1.597222158
Australia,1.589515303,1.594453729,1.599392155,1.604330581,1.609269007,1.614207433,1.619145859,1.624084284,1.62902271,1.633961136,1.638899562,1.643837988,1.648776414,1.65371484,1.658653266,1.663591692,1.668530118,1.673468544,1.67840697,1.683345396,1.688283822,1.693222248,1.698160674,1.7030991,1.66840744,1.710729122,1.752935171,1.724509716,1.696084261,1.725532648,1.754900575,1.837991714,1.814110756,1.711629987,1.747457266,1.735420585,1.753576279,1.731951714,1.763209581,1.741487265,1.746008277,1.753682137,1.927559376,1.801867619,1.806806045,1.811744471,1.816682897,1.821621323
Austria,1.754552376,1.757503658,1.760454939,1.763406221,1.766357502,1.769308784,1.772260065,1.775211347,1.778162628,1.781113909,1.784065191,1.787016472,1.789967754,1.792919035,1.795870317,1.798821598,1.80177288,1.804724161,1.807675442,1.810626724,1.813578005,1.816529287,1.819480568,1.82243185,1.80136013,1.817467581,1.833531022,1.823506057,1.813481092,1.83777695,1.862006426,1.862151861,1.846199751,1.863113046,1.909443974,1.959169865,1.926550269,1.78701055,1.805799961,1.810768843,1.84187007,1.828849196,1.956892014,1.881457478,1.88440876,1.887360041,1.890311323,1.893262604
Azerbaijan,-1.709412126,-1.684417062,-1.659421999,-1.634426935,-1.609431872,-1.584436808,-1.559441745,-1.534446681,-1.509451618,-1.484456554,-1.459461491,-1.434466427,-1.409471364,-1.3844763,-1.359481237,-1.334486173,-1.30949111,-1.284496046,-1.259500983,-1.234505919,-1.209510856,-1.184515792,-1.159520729,-1.134525665,-1.157079339,-1.123179736,-1.089372754,-1.100677133,-1.111981511,-0.982380723,-0.853134036,-0.81491518,-0.844776988,-0.743323624,-0.806421936,-0.789964795,-0.760903001,-0.828225911,-0.853012085,-0.861862183,-0.805440366,-0.673669755,-0.606604517,-0.634624395,-0.609629332,-0.584634268,-0.559639205,-0.534644141
"Bahamas, The",2.388234216,2.347906028,2.30757784,2.267249652,2.226921464,2.186593276,2.146265088,2.1059369,2.065608711,2.025280523,1.984952335,1.944624147,1.904295959,1.863967771,1.823639583,1.783311395,1.742983207,1.702655018,1.66232683,1.621998642,1.581670454,1.541342266,1.501014078,1.46068589,1.089154601,1.16012022,1.230891943,1.241918743,1.252945542,1.306905493,1.360718012,1.364068985,1.353319287,1.332612276,1.086621284,1.251096725,1.188549876,0.783588648,0.6936903,0.572644472,0.585722208,0.598158062,0.637949526,0.654122127,0.613793939,0.573465751,0.533137563,0.492809375
Bahrain,0.209794025,0.217163283,0.224532541,0.2319018,0.239271058,0.246640317,0.254009575,0.261378833,0.268748092,0.27611735,0.283486608,0.290855867,0.298225125,0.305594383,0.312963642,0.3203329,0.327702158,0.335071417,0.342440675,0.349809933,0.357179192,0.36454845,0.371917708,0.379286967,0.043489818,0.21767672,0.391387701,0.379635632,0.367883563,0.490189923,0.612162113,0.638228059,0.755473554,0.646939933,0.42136994,0.573680162,0.566628993,0.553231716,0.480077833,0.391851753,0.276169389,0.351621181,0.448913515,0.526672134,0.534041392,0.541410651,0.548779909,0.556149167
