Country Name,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Afghanistan,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.755630732,-1.747078776,-1.738550186,-1.754167199,-1.769784212,-1.77088005,-1.771972895,-1.671004057,-1.710012555,-1.72299242,-1.955725074,-1.924358368,-1.946835995,-1.908901095,-1.901093006,-1.934632897,-1.72303009,-1.671192646,-1.533755422,-1.533755422,-1.533755422,-1.533755422,-1.533755422,-1.533755422
Albania,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-0.933233917,-1.068167575,-1.202732563,-1.223606646,-1.244480729,-1.0828914,-0.921743572,-0.876727164,-0.756730676,-0.805466056,-0.730364561,-0.698921084,-0.636627913,-0.532582879,-0.435759485,-0.485332608,-0.569308341,-0.574120343,-0.370606244,-0.370606244,-0.370606244,-0.370606244,-0.370606244,-0.370606244
Algeria,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.192538023,-1.184755542,-1.176994324,-1.171858788,-1.166723251,-0.878395654,-0.590855837,-0.54437536,-0.554133654,-0.703649223,-0.644485116,-0.711783886,-0.706405878,-0.758093834,-0.749080479,-0.774966717,-0.753692389,-0.663249969,-0.733102083,-0.733102083,-0.733102083,-0.733102083,-0.733102083,-0.733102083
American Samoa,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,0.851433694,1.144867301,1.125530481,1.152661085,1.161918044,1.170364738,1.158515692,1.131743908,1.13766551,1.143585324,1.393702388,1.393702388,1.393702388,1.393702388,1.393702388,1.393702388
Andorra,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.204236269,1.238910062,1.273489118,1.306724072,1.339959025,1.307520599,1.275170803,1.068213463,1.21767354,1.02079916,0.938042223,1.216534972,1.219402075,1.248229265,1.232839942,1.42713058,1.429290652,1.43140316,1.622710586,1.622710586,1.622710586,1.622710586,1.622710586,1.622710586
Angola,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.633457899,-1.666414222,-1.6992805,-1.666214347,-1.633148193,-1.619491816,-1.60587275,-1.529795289,-1.459061503,-1.442705393,-1.296970487,-1.395932198,-1.396865726,-1.240468502,-1.255794406,-1.247869849,-1.276352167,-1.279619694,-1.096554041,-1.096554041,-1.096554041,-1.096554041,-1.096554041,-1.096554041
Anguilla,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.156569242,1.671780944,1.64908576,1.690954328,1.709137797,1.439416766,1.422926426,1.391949654,1.398365259,1.402684808,0.019653277,0.019653277,0.019653277,0.019653277,0.019653277,0.019653277
Antigua and Barbuda,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.005333662,1.026245791,1.047100782,1.02775234,1.008403897,1.013317503,1.018217683,1.000826597,0.913054347,0.676470935,0.997112095,0.982756555,0.965481639,1.000922084,0.985227287,0.968332112,0.969960809,0.862034917,-0.194375917,-0.194375917,-0.194375917,-0.194375917,-0.194375917,-0.194375917
Argentina,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.037218049,0.000525125,-0.036067545,-0.11792843,-0.199789315,-0.509040307,-0.817446351,-0.820463836,-0.826378584,-0.581665337,-0.602514386,-0.633144617,-0.70004636,-0.7088902,-0.620729744,-0.587500155,-0.714045763,-0.731716871,-0.905605733,-0.905605733,-0.905605733,-0.905605733,-0.905605733,-0.905605733
Armenia,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.491841406,-0.423515782,-0.35537684,-0.407980323,-0.460583806,-0.419872114,-0.379271656,-0.325318456,-0.446412385,-0.369204104,-0.492058426,-0.453808963,-0.292541444,-0.45055747,-0.467635155,-0.424361795,-0.398126364,-0.314757943,-0.321152449,-0.321152449,-0.321152449,-0.321152449,-0.321152449,-0.321152449
Aruba,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.927717566,0.88141042,0.863752902,0.883514404,0.888308227,1.419553876,1.420508742,1.336915016,1.319356799,1.302940607,1.078686476,1.078686476,1.078686476,1.078686476,1.078686476,1.078686476
Australia,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.66840744,1.710729122,1.752935171,1.724509716,1.696084261,1.725532648,1.754900575,1.837991714,1.814110756,1.711629987,1.747457266,1.735420585,1.753576279,1.731951714,1.763209581,1.741487265,1.746008277,1.753682137,1.927559376,1.927559376,1.927559376,1.927559376,1.927559376,1.927559376
Austria,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.80136013,1.817467581,1.833531022,1.823506057,1.813481092,1.83777695,1.862006426,1.862151861,1.846199751,1.863113046,1.909443974,1.959169865,1.926550269,1.78701055,1.805799961,1.810768843,1.84187007,1.828849196,1.956892014,1.956892014,1.956892014,1.956892014,1.956892014,1.956892014
Azerbaijan,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.157079339,-1.123179736,-1.089372754,-1.100677133,-1.111981511,-0.982380723,-0.853134036,-0.81491518,-0.844776988,-0.743323624,-0.806421936,-0.789964795,-0.760903001,-0.828225911,-0.853012085,-0.861862183,-0.805440366,-0.673669755,-0.606604517,-0.606604517,-0.606604517,-0.606604517,-0.606604517,-0.606604517
"Bahamas, The",1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.089154601,1.16012022,1.230891943,1.241918743,1.252945542,1.306905493,1.360718012,1.364068985,1.353319287,1.332612276,1.086621284,1.251096725,1.188549876,0.783588648,0.6936903,0.572644472,0.585722208,0.598158062,0.637949526,0.637949526,0.637949526,0.637949526,0.637949526,0.637949526
Bahrain,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.043489818,0.21767672,0.391387701,0.379635632,0.367883563,0.490189923,0.612162113,0.638228059,0.755473554,0.646939933,0.42136994,0.573680162,0.566628993,0.553231716,0.480077833,0.391851753,0.276169389,0.351621181,0.448913515,0.448913515,0.448913515,0.448913515,0.448913515,0.448913515
Bangladesh,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.961941481,-0.9460167,-0.930135429,-0.938276917,-0.946418405,-0.92336766,-0.900379896,-1.024576545,-0.997680426,-0.966674387,-0.885484576,-0.834783137,-0.757501483,-0.773740709,-0.786380768,-0.711802244,-0.908276618,-0.831679463,-0.720352352,-0.720352352,-0.720352352,-0.720352352,-0.720352352,-0.720352352
Barbados,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,0.956721604,1.077145611,1.197240591,1.270228565,1.343216538,1.396785246,1.450207591,1.450974107,1.386321664,1.282811284,1.170156479,1.253476262,1.267201781,0.97345227,1.043889165,1.041293025,0.993698061,0.999037445,1.055337667,1.055337667,1.055337667,1.055337667,1.055337667,1.055337667
Belarus,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.728750408,-0.765275756,-0.801701307,-0.910555661,-1.019410014,-1.145814786,-1.271874189,-1.201385021,-1.255599976,-1.194455385,-1.289099336,-1.143038511,-1.005517125,-0.997745931,-1.041144848,-1.083174586,-0.92146486,-0.888814211,-0.812970519,-0.812970519,-0.812970519,-0.812970519,-0.812970519,-0.812970519
