Unnamed: 0,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,21.22460389,21.41842878,21.61225368,21.80607857,21.99990346,22.19372835,22.38755324,22.58137813,22.77520302,22.96902791,23.1628528,23.35667769,23.55050259,23.74432748,23.93815237,24.13197726,24.32580215,24.51962704,24.71345193,24.90727682,25.10110171,25.29492661,25.4887515,25.68257639,25.87640128,26.07022617,26.26405106,26.45787595,26.65170084,26.84552573,27.03935063,27.23317552,27.42700041,27.6208253,27.81465019,28.00847508,28.20229997,28.39612486,28.58994975,28.78377465,28.97759954,29.17142443,29.36524932,29.55907421,29.7528991,29.94672399,30.14054888,30.33437377,29,30.00205339,31.00136893,32.00068446,33,32.59934319,32.19978106,31.80021894,31.40065681,31,32.46644758,32.66027247
Angola,60.83455568,60.52764377,60.22073186,59.91381995,59.60690805,59.29999614,58.99308423,58.68617232,58.37926042,58.07234851,57.7654366,57.45852469,57.15161279,56.84470088,56.53778897,56.23087706,55.92396516,55.61705325,55.31014134,55.00322944,54.69631753,54.38940562,54.08249371,53.77558181,53.4686699,53.16175799,52.85484608,52.54793418,52.24102227,51.93411036,51.62719845,51.32028655,51.01337464,50.70646273,50.39955082,45,46.3992333,47.80230011,49.20153341,50.6007667,52,51.96,53.48,55,43,50,38,55,39,42.72,45.48896031,45.1820484,44.87513649,44.56822458,44.26131268,43.95440077,43.64748886,43.34057696,43.03366505,42.72675314
Albania,26.78999785,26.85820929,26.92642073,26.99463217,27.06284361,27.13105505,27.19926649,27.26747793,27.33568937,27.40390081,27.47211225,27.54032369,27.60853514,27.67674658,27.74495802,27.81316946,27.8813809,27.94959234,28.01780378,28.08601522,28.15422666,28.2224381,28.29064954,28.35886098,28.42707242,28.49528387,28.56349531,28.63170675,28.69991819,28.76812963,28.83634107,28.90455251,28.97276395,29.04097539,29.10918683,29.17739827,27,27.78476277,28.56738139,29.35,30.13261861,30.91738139,31.7,31.33366788,30.96733577,30.6,30.4,30.2,30,29.74948665,29.49965777,29.24982888,29,30.40520421,30.47341565,30.54162709,30.60983853,30.67804997,30.74626141,30.81447285
Andorra,23.62223609,23.70143029,23.78062449,23.85981868,23.93901288,24.01820708,24.09740127,24.17659547,24.25578966,24.33498386,24.41417806,24.49337225,24.57256645,24.65176065,24.73095484,24.81014904,24.88934324,24.96853743,25.04773163,25.12692582,25.20612002,25.28531422,25.36450841,25.44370261,25.52289681,25.602091,25.6812852,25.76047939,25.83967359,25.91886779,25.99806198,26.07725618,26.15645038,26.23564457,26.31483877,26.39403297,26.47322716,26.55242136,26.63161555,26.71080975,26.79000395,26.46,26.76,27.21,27.26765586,27.32546967,27.38312553,27.44078138,27.49843724,27.55625105,27.61390691,27.67156276,27.72921862,27.78703243,27.84468829,27.90234414,27.96,28.13630528,28.21549948,28.29469368
United Arab Emirates,3.391415189,4.158529069,4.925642949,5.692756829,6.45987071,7.22698459,7.99409847,8.76121235,9.52832623,10.29544011,11.06255399,11.82966787,12.59678175,13.36389563,14.13100951,14.89812339,15.66523727,16.43235115,17.19946503,17.96657891,18.73369279,19.50080667,20.26792055,21.03503443,21.80214831,22.56926219,23.33637607,24.10348995,24.87060383,25.63771771,26.40483159,27.17194547,27.93905935,28.70617323,29.47328711,38.7,36.82102957,34.93691128,33.05794085,31.17897043,29.3,30.42731006,31.55154004,32.67577002,33.8,34.92731006,36.05154004,37.17577002,38.3,40.65986864,43.01328955,45.36671045,47.72013136,50.08,44.81556471,45.58267859,46.34979247,47.11690635,47.88402023,48.65113411
Argentina,44,45.15,41,37.2,36.25129959,35.3,35.79965777,36.29931554,36.79897331,37.3,38.6,36.475,34.35,34.3124487,34.275,36.9,35.2,40.3,43.4,41.3,40.8,42.75,40.2,40.4,40.1004104,39.8,42.8,45.3,44.8,47.6,46.6,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,51.2,48.6,48,46.7,46.6,45.3,44.1,44.5,42.7,41.4,41,41.7,39.005,42,41.2,39.6,47.54537893
Armenia,35.27135733,35.23541116,35.19946499,35.16351882,35.12757265,35.09162648,35.05568031,35.01973414,34.98378797,34.9478418,34.91189564,34.87594947,34.8400033,34.80405713,34.76811096,34.73216479,34.69621862,34.66027245,34.62432628,34.58838011,34.55243395,34.51648778,34.48054161,34.44459544,34.40864927,34.3727031,26.9,27.45,28,25.85,26.9,29.6,35.5,36.6,32.1,38.1,50.5,48.24692202,46,36.2,48.6,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,33.18647952,33.15053335
Australia,27.8,27.9,32.77,28.05,27.3,27.25,27.6,29.675,30.8,29.33,28,27.85,25.35,26,25.1,22.35,29.5,23.25,27.4,28.33,23.95,31.3,24.5,25.1,25.1,32.5,35.86,27.95,30.6,33.2,37.66,30.05,30.65,30.85,30.4,32.6,34.825,34.775,39.2,33.15,36.88,33.5,30.9,33.5,33.1,33.6761807,34.25078713,34.82539357,35.4,35.0495212,34.7,28.3,38.57,37.18310534,35.8,34.4,33,35.78189069,35.95170786,36.12152503
Austria,27.55543263,27.57872966,27.60202669,27.62532373,27.64862076,27.67191779,27.69521483,27.71851186,27.74180889,27.76510592,29.3,28,26.7,27.82731006,28.95154004,30.07577002,31.2,24.3,26.07378508,27.84757016,29.62135524,31.4,31.2,31,29.69256217,28.38154232,27.07410449,25.76666667,25.89990874,26.03351586,26.16675793,26.3,27.41564781,28.53435219,29.65,28.36666667,26,27.26666667,24,26,26.23333333,24,26.75,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,27.8,27.9,26.8,28.92995756
Azerbaijan,20.44510775,20.8306194,21.21613105,21.60164271,21.98715436,22.37266602,22.75817767,23.14368932,23.52920098,23.91471263,24.30022429,24.68573594,27.1,26.84948665,26.59965777,26.34982888,26.1,25.91970443,25.73990148,25.56009852,25.38029557,25.2,25.47984666,25.75969332,26.03953998,26.32015334,26.6,29.15,31.7,30.36666667,34.5,35.3,36.1,39.45458276,42.8,34.7,45.8,46.2,46.2,43.275,40.35,36.5,25.3,26.8,26.6,26.6,38.17864382,38.56415548,38.94966713,39.33517878,39.72069044,40.10620209,40.49171375,40.8772254,41.26273705,41.64824871,42.03376036,42.41927202,42.80478367,43.19029532
Burundi,39.64693059,39.59530332,39.54367606,39.49204879,39.44042153,39.38879426,39.337167,39.28553973,39.23391247,39.1822852,39.13065794,39.07903067,39.02740341,38.97577614,38.92414888,38.87252161,38.82089435,38.76926708,38.71763982,38.66601255,38.61438529,38.56275802,38.51113076,38.45950349,38.40787623,38.35624896,38.3046217,38.25299443,38.20136717,38.1497399,38.09811264,38.04648537,33.3,34.80273723,36.30136861,37.8,39.29863139,40.80136861,42.3,42.35,41.07242863,39.79135706,38.51378569,37.23621431,35.95864294,34.67757137,33.4,34.1422761,34.88455221,35.62886195,36.37113805,37.11341416,37.85569026,38.6,38.62,36.80743102,36.75580375,36.70417649,36.65254922,36.60092196
Belgium,36.89708013,36.69042449,36.48376884,36.2771132,36.07045756,35.86380192,35.65714628,35.45049064,35.24383499,34.35,36.71088296,39.07176591,41.43264887,43.8,42.85,41.9,41.6,40.6,34.45,28.3,27.59647582,26.89102418,26.1875,25.48397582,24.78045164,24.075,24.19166667,24.30833333,24.425,25.50220739,26.57647159,27.6507358,28.725,30.8,30.4,27.93333333,28,28.88,27,29,31.53333333,28,28.05,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,26.45,26,25.6,24.70439727
Benin,8.379823261,9.074560966,9.769298672,10.46403638,11.15877408,11.85351179,12.54824949,13.2429872,13.9377249,14.63246261,15.32720032,16.02193802,16.71667573,17.41141343,18.10615114,18.80088884,19.49562655,20.19036425,20.88510196,21.57983966,22.27457737,22.96931508,23.66405278,24.35879049,25.05352819,25.7482659,26.4430036,27.13774131,27.83247901,28.52721672,29.22195443,29.91669213,30.61142984,31.30616754,32.00090525,32.69564295,33.39038066,34.08511836,34.77985607,35.47459377,36.16933148,36.86406919,37.55880689,38.6,39.19958932,39.80082136,40.40041068,41,41.59958932,42.20082136,42.80041068,43.4,43.44,44.8959854,46.3479927,47.8,47.28513477,47.97987247,48.67461018,49.36934788
Burkina Faso,86.38878217,85.42921467,84.46964718,83.51007969,82.55051219,81.5909447,80.6313772,79.67180971,78.71224222,77.75267472,76.79310723,75.83353973,74.87397224,73.91440475,72.95483725,71.99526976,71.03570226,70.07613477,69.11656728,68.15699978,67.19743229,66.23786479,65.2782973,64.31872981,63.35916231,62.39959482,61.44002732,60.48045983,59.52089234,58.56132484,57.60175735,56.64218985,55.68262236,54.72305487,48.1,58.435,55.5925958,52.7424042,49.9,48.58072289,47.26144578,45.93855422,44.61927711,43.3,42.71719891,42.13280109,41.55,40.96719891,40.38439781,39.8,38.90049288,38.00098576,37.10147864,36.19950712,35.3,33.61257,32.6530025,31.69343501,30.73386752,29.77430002
Bangladesh,41.8,45,41.88333333,38.76666667,41.82913817,44.9,42,30.02857143,32.86040649,35.7,35.03378964,34.36757928,33.70136893,33.03333333,34.973671,36.91400867,38.85434634,40.8,35.2,36.25459246,37.30918491,38.36666667,32.13333333,25.9,29.29,26.9,32.13,30.465,28.8,32.38333333,29.99166667,27.6,32.285,32.49037409,32.69518704,32.9,38.21333333,37.00752909,35.80501939,34.6025097,33.4,33.35993432,33.31997811,33.28002189,33.24006568,33.2,32.98012048,32.76024096,32.54036145,32.31987952,32.1,32.14997718,32.19995436,32.25006846,32.30004564,32.35002282,32.4,30.56684203,30.43676967,30.3066973
