country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,0.870078908,0.814108758,0.758138609,0.702168459,0.64619831,0.590228161,0.534258011,0.478287862,0.422317712,0.366347563,0.310377413,0.254407264,0.198437115,0.142466965,0.086496816,0.030526666,-0.025443483,-0.081413632,-0.137383782,-0.193353931,-0.249324081,-0.30529423,-0.36126438,-0.417234529,-0.473204678,-0.529174828,-0.585144977,-0.641115127,-0.697085276,-0.753055425,-0.809025575,-0.864995724,-0.920965874,-0.726640897,-0.889544677,-1.052448457,-1.200747306,-1.306114176,-1.253789643,-1.212067198,-1.819669297,-1.764682845,-1.598308918,-1.590520259,-1.457699239,-1.477598386,-1.420556593,-1.760518115
AGO,-0.822108039,-0.829957621,-0.837807202,-0.845656784,-0.853506365,-0.861355946,-0.869205528,-0.877055109,-0.884904691,-0.892754272,-0.900603853,-0.908453435,-0.916303016,-0.924152598,-0.932002179,-0.93985176,-0.947701342,-0.955550923,-0.963400505,-0.971250086,-0.979099667,-0.986949249,-0.99479883,-1.002648412,-1.010497993,-1.018347574,-1.026197156,-1.034046737,-1.313726993,-1.264736852,-1.215880563,-1.077103122,-0.975322959,-0.956883827,-0.881447154,-0.860512568,-1.010320421,-1.0191729,-1.013403434,-0.978194925,-1.101417359,-1.005184522,-1.241984894,-1.390348641,-1.302215269,-1.267055968,-1.263396061,-1.191038365
ALB,-1.912514803,-1.876061515,-1.839608227,-1.803154939,-1.766701651,-1.730248363,-1.693795076,-1.657341788,-1.6208885,-1.584435212,-1.547981924,-1.511528636,-1.475075348,-1.43862206,-1.402168772,-1.365715485,-1.329262197,-1.292808909,-1.256355621,-1.219902333,-1.183449045,-1.146995757,-1.110542469,-1.074089181,-1.037635894,-1.001182606,-0.964729318,-1.001144291,-0.960031794,-0.91880666,-0.877694162,-0.76988584,-0.749939686,-0.772689483,-0.695036663,-0.524624763,-0.2962196,-0.397466804,-0.340322049,-0.475927592,-0.537076551,-0.60011875,-0.529336845,-0.339447652,-0.213827479,-0.266979483,-0.372819708,-0.199210272
ARE,-0.845100355,-0.794031541,-0.742962728,-0.691893915,-0.640825102,-0.589756288,-0.538687475,-0.487618662,-0.436549849,-0.385481036,-0.334412222,-0.283343409,-0.232274596,-0.181205783,-0.130136969,-0.079068156,-0.027999343,0.02306947,0.074138284,0.125207097,0.17627591,0.227344723,0.278413537,0.32948235,0.380551163,0.431619976,0.48268879,0.533757603,0.584826416,0.635895229,0.686964043,0.415095107,0.872819881,0.97715679,0.982657759,0.818926459,0.893948435,1.180710211,1.101995206,1.331018527,1.258553294,1.323943667,1.35409014,1.362011093,1.185528252,1.469995465,1.408332996,1.555133868
ARG,-1.22467046,-1.205449086,-1.186227712,-1.167006338,-1.147784964,-1.128563591,-1.109342217,-1.090120843,-1.070899469,-1.051678095,-1.032456721,-1.013235347,-0.994013973,-0.974792599,-0.955571225,-0.936349851,-0.917128477,-0.897907103,-0.87868573,-0.859464356,-0.840242982,-0.821021608,-0.801800234,-0.272831541,-0.753060403,-1.14781681,-0.804753759,-0.703127205,-0.556193845,-0.541284578,-0.750874262,-0.76988584,-0.749939686,-0.588495138,-0.555228795,-0.524624763,-0.534253207,-0.540937441,-0.532631016,-0.503186536,-0.434469131,-0.448219086,-0.478433413,-0.539619269,-0.369311449,-0.214343878,-0.163272331,-0.321265886
ARM,-1.398020315,-1.375436252,-1.352852189,-1.330268126,-1.307684063,-1.285100001,-1.262515938,-1.239931875,-1.217347812,-1.194763749,-1.172179686,-1.149595624,-1.127011561,-1.104427498,-1.081843435,-1.059259372,-1.03667531,-1.014091247,-0.991507184,-0.968923121,-0.946339058,-0.923754995,-0.901170933,-0.87858687,-0.856002807,-0.833418744,-0.810834681,-0.915996552,-0.977045594,-0.834585881,-0.692515402,-0.550444924,-0.479479758,-0.542446552,-0.555228795,-0.47664079,-0.534253207,-0.636584533,-0.676862742,-0.679128279,-0.485772841,-0.346952643,-0.325723117,-0.389490556,-0.524795419,-0.424886296,-0.425206553,-0.336569362
AUS,0.906617052,0.93408235,0.961547648,0.989012947,1.016478245,1.043943543,1.071408841,1.09887414,1.126339438,1.153804736,1.181270035,1.208735333,1.236200631,1.26366593,1.291131228,1.318596526,1.346061824,1.373527123,1.400992421,1.428457719,1.455923018,1.483388316,1.510853614,1.140315787,1.262147355,1.28755103,1.570349194,1.723583355,1.463894548,1.560338029,1.700977146,1.995069702,2.089889557,2.174420029,2.147723329,2.210461652,2.226936634,2.232828221,2.25584901,2.299819206,2.130716361,1.931542325,1.86312446,1.812397232,1.859292122,1.785809092,1.775040906,2.197486072
AUT,0.283337589,0.318963513,0.354589437,0.390215361,0.425841285,0.461467209,0.497093132,0.532719056,0.56834498,0.603970904,0.639596828,0.675222751,0.710848675,0.746474599,0.782100523,0.817726447,0.85335237,0.888978294,0.924604218,0.960230142,0.995856066,1.03148199,1.067107913,0.477406788,0.86997783,0.768538212,1.07032752,1.255270791,1.211383499,1.266110864,1.362790745,1.643964236,1.909582938,2.128371442,2.101120706,1.970541791,1.941296306,1.850239854,1.871231075,1.79307422,1.309857003,1.323943667,1.455897004,1.662268519,1.651980162,1.680537883,1.722654062,1.957756009
AZE,-1.962836133,-1.93408818,-1.905340226,-1.876592273,-1.84784432,-1.819096367,-1.790348413,-1.76160046,-1.732852507,-1.704104554,-1.6753566,-1.646608647,-1.617860694,-1.589112741,-1.560364788,-1.531616834,-1.502868881,-1.474120928,-1.445372975,-1.416625021,-1.387877068,-1.359129115,-1.330381162,-1.301633208,-1.272885255,-1.244137302,-1.215389349,-1.256587508,-1.397897342,-1.17177136,-1.089060663,-1.077103122,-1.020399614,-0.864786655,-0.788241909,-0.90849654,-1.010320421,-0.827878717,-0.773017225,-0.800756796,-0.84489881,-0.752018415,-0.732950573,-0.689747982,-0.680279389,-0.635428714,-0.949074995,-0.611682331
BDI,0.381690082,0.345276918,0.308863755,0.272450591,0.236037427,0.199624264,0.1632111,0.126797937,0.090384773,0.053971609,0.017558446,-0.018854718,-0.055267882,-0.091681045,-0.128094209,-0.164507373,-0.200920536,-0.2373337,-0.273746864,-0.310160027,-0.346573191,-0.382986355,-0.419399518,-0.455812682,-0.492225846,-0.528639009,-0.565052173,-0.601465337,-0.6378785,-0.674291664,-0.710704828,-0.747117991,-0.783531155,-0.818738069,-0.788241909,-0.716560651,-1.010320421,-1.066996446,-1.061480676,-1.011649825,-1.255328489,-1.106450965,-1.191081462,-1.090091216,-1.198559289,-1.109149155,-1.368169749,-1.32972861
