country,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Aruba,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.726640897,-0.889544677,-1.052448457,-1.200747306,-1.306114176,-1.253789643,-1.212067198,-1.819669297,-1.764682845,-1.598308918,-1.590520259,-1.457699239,-1.477598386,-1.420556593,-1.420556593
Afghanistan,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.313726993,-1.264736852,-1.215880563,-1.077103122,-0.975322959,-0.956883827,-0.881447154,-0.860512568,-1.010320421,-1.0191729,-1.013403434,-0.978194925,-1.101417359,-1.005184522,-1.241984894,-1.390348641,-1.302215269,-1.267055968,-1.263396061,-1.263396061
Angola,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-1.001144291,-0.960031794,-0.91880666,-0.877694162,-0.76988584,-0.749939686,-0.772689483,-0.695036663,-0.524624763,-0.2962196,-0.397466804,-0.340322049,-0.475927592,-0.537076551,-0.60011875,-0.529336845,-0.339447652,-0.213827479,-0.266979483,-0.372819708,-0.372819708
Albania,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.415095107,0.872819881,0.97715679,0.982657759,0.818926459,0.893948435,1.180710211,1.101995206,1.331018527,1.258553294,1.323943667,1.35409014,1.362011093,1.185528252,1.469995465,1.408332996,1.408332996
Andorra,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.272831541,-0.753060403,-1.14781681,-0.804753759,-0.703127205,-0.556193845,-0.541284578,-0.750874262,-0.76988584,-0.749939686,-0.588495138,-0.555228795,-0.524624763,-0.534253207,-0.540937441,-0.532631016,-0.503186536,-0.434469131,-0.448219086,-0.478433413,-0.539619269,-0.369311449,-0.214343878,-0.163272331,-0.163272331
Arab World,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.915996552,-0.977045594,-0.834585881,-0.692515402,-0.550444924,-0.479479758,-0.542446552,-0.555228795,-0.47664079,-0.534253207,-0.636584533,-0.676862742,-0.679128279,-0.485772841,-0.346952643,-0.325723117,-0.389490556,-0.524795419,-0.424886296,-0.425206553,-0.425206553
United Arab Emirates,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.140315787,1.262147355,1.28755103,1.570349194,1.723583355,1.463894548,1.560338029,1.700977146,1.995069702,2.089889557,2.174420029,2.147723329,2.210461652,2.226936634,2.232828221,2.25584901,2.299819206,2.130716361,1.931542325,1.86312446,1.812397232,1.859292122,1.785809092,1.775040906,1.775040906
Argentina,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.477406788,0.86997783,0.768538212,1.07032752,1.255270791,1.211383499,1.266110864,1.362790745,1.643964236,1.909582938,2.128371442,2.101120706,1.970541791,1.941296306,1.850239854,1.871231075,1.79307422,1.309857003,1.323943667,1.455897004,1.662268519,1.651980162,1.680537883,1.722654062,1.722654062
Armenia,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.256587508,-1.397897342,-1.17177136,-1.089060663,-1.077103122,-1.020399614,-0.864786655,-0.788241909,-0.90849654,-1.010320421,-0.827878717,-0.773017225,-0.800756796,-0.84489881,-0.752018415,-0.732950573,-0.689747982,-0.680279389,-0.635428714,-0.949074995,-0.949074995
American Samoa,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.818738069,-0.788241909,-0.716560651,-1.010320421,-1.066996446,-1.061480676,-1.011649825,-1.255328489,-1.106450965,-1.191081462,-1.090091216,-1.198559289,-1.109149155,-1.368169749,-1.368169749
