Country Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,-2.420348696,-2.395453681,-2.370558666,-2.345663652,-2.320768637,-2.295873622,-2.270978607,-2.246083592,-2.221188577,-2.196293562,-2.171398548,-2.146503533,-2.121608518,-2.096713503,-2.071818488,-2.046923473,-2.022028458,-1.997133444,-1.972238429,-1.947343414,-1.922448399,-1.897553384,-1.872658369,-1.847763354,-1.846839666,-1.841544905,-1.83626461,-1.875018954,-1.913773298,-1.669753082,-1.426399589,-1.54685235,-1.424299836,-1.464257479,-1.44451642,-1.590514183,-1.637168765,-1.5132792,-1.624465704,-1.549655199,-1.4115659,-1.430118561,-1.331163168,-1.349863057,-1.324968042,-1.300073028,-1.275178013,-1.250282998
Albania,-1.638533571,-1.611860177,-1.585186784,-1.55851339,-1.531839997,-1.505166603,-1.47849321,-1.451819816,-1.425146423,-1.398473029,-1.371799636,-1.345126242,-1.318452849,-1.291779455,-1.265106062,-1.238432668,-1.211759275,-1.185085881,-1.158412487,-1.131739094,-1.1050657,-1.078392307,-1.051718913,-1.02504552,-1.090980411,-1.049729439,-1.008591175,-0.916536748,-0.824482322,-0.840650801,-0.856775105,-0.768750072,-0.671658039,-0.746664345,-0.805980444,-0.659164071,-0.545419455,-0.493278325,-0.488577753,-0.647341132,-0.723547757,-0.716902256,-0.55289042,-0.49157765,-0.464904256,-0.438230863,-0.411557469,-0.384884076
Algeria,-1.375599473,-1.353576806,-1.33155414,-1.309531473,-1.287508806,-1.26548614,-1.243463473,-1.221440806,-1.19941814,-1.177395473,-1.155372807,-1.13335014,-1.111327473,-1.089304807,-1.06728214,-1.045259474,-1.023236807,-1.00121414,-0.979191474,-0.957168807,-0.93514614,-0.913123474,-0.891100807,-0.869078141,-0.47999078,-0.725182099,-0.969703496,-0.959213406,-0.948723316,-0.942638131,-0.936569571,-0.66810143,-0.625487983,-0.422175199,-0.48602429,-0.515521705,-0.561762273,-0.546508968,-0.487805158,-0.495586395,-0.475628614,-0.467103869,-0.614451289,-0.428624808,-0.406602142,-0.384579475,-0.362556808,-0.340534142
American Samoa,0.280703544,0.287036476,0.293369408,0.299702339,0.306035271,0.312368203,0.318701134,0.325034066,0.331366998,0.33769993,0.344032861,0.350365793,0.356698725,0.363031657,0.369364588,0.37569752,0.382030452,0.388363384,0.394696315,0.401029247,0.407362179,0.413695111,0.420028042,0.426360974,0.432693906,0.439026837,0.445359769,0.451692701,0.458025633,0.464358564,0.470691496,0.477024428,0.781815648,0.796982586,0.325921327,0.338974655,0.355634958,0.382101387,0.371913165,0.358095407,0.350025147,0.352089822,1.251688123,0.553019609,0.55935254,0.565685472,0.572018404,0.578351336
Andorra,1.470421948,1.465606648,1.460791348,1.455976048,1.451160748,1.446345447,1.441530147,1.436714847,1.431899547,1.427084247,1.422268946,1.417453646,1.412638346,1.407823046,1.403007745,1.398192445,1.393377145,1.388561845,1.383746545,1.378931244,1.374115944,1.369300644,1.364485344,1.359670043,1.35953927,1.369858057,1.380148649,1.382515728,1.384882808,1.342049854,1.29933393,1.316519618,1.101778388,1.27218318,1.27474761,1.298273921,1.319785237,1.345136762,1.333021045,1.307217717,1.294389725,1.285754204,1.251688123,1.263364039,1.258548739,1.253733439,1.248918138,1.244102838
Angola,-1.171665496,-1.176048556,-1.180431615,-1.184814675,-1.189197735,-1.193580794,-1.197963854,-1.202346913,-1.206729973,-1.211113032,-1.215496092,-1.219879151,-1.224262211,-1.22864527,-1.23302833,-1.237411389,-1.241794449,-1.246177508,-1.250560568,-1.254943627,-1.259326687,-1.263709746,-1.268092806,-1.272475866,-1.15809834,-1.238587247,-1.318856239,-1.417777061,-1.516697884,-1.326555848,-1.136933327,-1.303789735,-1.281113744,-1.331654906,-1.227777839,-1.320408344,-1.283269048,-1.417586088,-1.319217563,-1.337880015,-1.29587853,-1.325143218,-1.452597737,-1.360137056,-1.364520116,-1.368903175,-1.373286235,-1.377669294
Anguilla,0.493514706,0.514106992,0.534699278,0.555291564,0.57588385,0.596476135,0.617068421,0.637660707,0.658252993,0.678845279,0.699437565,0.72002985,0.740622136,0.761214422,0.781806708,0.802398994,0.82299128,0.843583565,0.864175851,0.884768137,0.905360423,0.925952709,0.946544995,0.96713728,0.987729566,1.008321852,1.028914138,1.049506424,1.07009871,1.090690995,1.111283281,1.131875567,0.827524602,1.27218318,1.27474761,1.298273921,1.319785237,1.345136762,1.333021045,1.307217717,1.294389725,1.285754204,1.251688123,1.378982997,1.399575283,1.420167569,1.440759854,1.46135214
Antigua and Barbuda,0.3106626,0.332922642,0.355182684,0.377442726,0.399702768,0.42196281,0.444222852,0.466482894,0.488742936,0.511002978,0.53326302,0.555523062,0.577783104,0.600043146,0.622303188,0.64456323,0.666823272,0.689083313,0.711343355,0.733603397,0.755863439,0.778123481,0.800383523,0.822643565,0.901485145,0.911086205,0.920661032,0.917153597,0.913646162,0.879298673,0.84504503,0.833458722,0.836443722,0.765766919,1.27474761,1.298273921,1.319785237,1.345136762,1.333021045,1.307217717,1.294389725,1.285754204,0.677264333,1.267844405,1.290104447,1.312364489,1.334624531,1.356884573
Argentina,0.096235901,0.081102471,0.065969041,0.05083561,0.03570218,0.02056875,0.00543532,-0.00969811,-0.024831541,-0.039964971,-0.055098401,-0.070231831,-0.085365261,-0.100498692,-0.115632122,-0.130765552,-0.145898982,-0.161032412,-0.176165843,-0.191299273,-0.206432703,-0.221566133,-0.236699563,-0.251832994,-0.212721094,-0.198420375,-0.184158728,-0.261331357,-0.338503987,-0.426450309,-0.514156342,-0.522940814,-0.454474509,-0.430843294,-0.397378683,-0.39808014,-0.473709464,-0.50360018,-0.413507283,-0.401146501,-0.48757717,-0.46097517,-0.580203176,-0.554501598,-0.569635028,-0.584768458,-0.599901888,-0.615035318
Armenia,-0.810682704,-0.804269536,-0.797856368,-0.791443201,-0.785030033,-0.778616865,-0.772203697,-0.765790529,-0.759377362,-0.752964194,-0.746551026,-0.740137858,-0.73372469,-0.727311523,-0.720898355,-0.714485187,-0.708072019,-0.701658851,-0.695245684,-0.688832516,-0.682419348,-0.67600618,-0.669593012,-0.663179845,-0.472677261,-0.605052725,-0.737066507,-0.694318503,-0.651570499,-0.650707258,-0.649846375,-0.553990602,-0.606656432,-0.634281039,-0.586244166,-0.663681686,-0.634572446,-0.556354344,-0.650609612,-0.596332967,-0.529023409,-0.468069226,-0.440860063,-0.534916488,-0.528503321,-0.522090153,-0.515676985,-0.509263817
