Country Name,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Afghanistan,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.846839666,-1.841544905,-1.83626461,-1.875018954,-1.913773298,-1.669753082,-1.426399589,-1.54685235,-1.424299836,-1.464257479,-1.44451642,-1.590514183,-1.637168765,-1.5132792,-1.624465704,-1.549655199,-1.4115659,-1.430118561,-1.331163168,-1.331163168,-1.331163168,-1.331163168,-1.331163168,-1.331163168
Albania,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.090980411,-1.049729439,-1.008591175,-0.916536748,-0.824482322,-0.840650801,-0.856775105,-0.768750072,-0.671658039,-0.746664345,-0.805980444,-0.659164071,-0.545419455,-0.493278325,-0.488577753,-0.647341132,-0.723547757,-0.716902256,-0.55289042,-0.55289042,-0.55289042,-0.55289042,-0.55289042,-0.55289042
Algeria,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.47999078,-0.725182099,-0.969703496,-0.959213406,-0.948723316,-0.942638131,-0.936569571,-0.66810143,-0.625487983,-0.422175199,-0.48602429,-0.515521705,-0.561762273,-0.546508968,-0.487805158,-0.495586395,-0.475628614,-0.467103869,-0.614451289,-0.614451289,-0.614451289,-0.614451289,-0.614451289,-0.614451289
American Samoa,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.781815648,0.796982586,0.325921327,0.338974655,0.355634958,0.382101387,0.371913165,0.358095407,0.350025147,0.352089822,1.251688123,1.251688123,1.251688123,1.251688123,1.251688123,1.251688123
Andorra,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.35953927,1.369858057,1.380148649,1.382515728,1.384882808,1.342049854,1.29933393,1.316519618,1.101778388,1.27218318,1.27474761,1.298273921,1.319785237,1.345136762,1.333021045,1.307217717,1.294389725,1.285754204,1.251688123,1.251688123,1.251688123,1.251688123,1.251688123,1.251688123
Angola,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.15809834,-1.238587247,-1.318856239,-1.417777061,-1.516697884,-1.326555848,-1.136933327,-1.303789735,-1.281113744,-1.331654906,-1.227777839,-1.320408344,-1.283269048,-1.417586088,-1.319217563,-1.337880015,-1.29587853,-1.325143218,-1.452597737,-1.452597737,-1.452597737,-1.452597737,-1.452597737,-1.452597737
Anguilla,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,0.827524602,1.27218318,1.27474761,1.298273921,1.319785237,1.345136762,1.333021045,1.307217717,1.294389725,1.285754204,1.251688123,1.251688123,1.251688123,1.251688123,1.251688123,1.251688123
Antigua and Barbuda,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.901485145,0.911086205,0.920661032,0.917153597,0.913646162,0.879298673,0.84504503,0.833458722,0.836443722,0.765766919,1.27474761,1.298273921,1.319785237,1.345136762,1.333021045,1.307217717,1.294389725,1.285754204,0.677264333,0.677264333,0.677264333,0.677264333,0.677264333,0.677264333
Argentina,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.212721094,-0.198420375,-0.184158728,-0.261331357,-0.338503987,-0.426450309,-0.514156342,-0.522940814,-0.454474509,-0.430843294,-0.397378683,-0.39808014,-0.473709464,-0.50360018,-0.413507283,-0.401146501,-0.48757717,-0.46097517,-0.580203176,-0.580203176,-0.580203176,-0.580203176,-0.580203176,-0.580203176
Armenia,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.472677261,-0.605052725,-0.737066507,-0.694318503,-0.651570499,-0.650707258,-0.649846375,-0.553990602,-0.606656432,-0.634281039,-0.586244166,-0.663681686,-0.634572446,-0.556354344,-0.650609612,-0.596332967,-0.529023409,-0.468069226,-0.440860063,-0.440860063,-0.440860063,-0.440860063,-0.440860063,-0.440860063
Aruba,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.147487402,1.27218318,1.27474761,1.298273921,1.319785237,1.114503622,1.133149862,1.118746042,1.111112475,1.128505349,1.026687503,1.026687503,1.026687503,1.026687503,1.026687503,1.026687503
Australia,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.885739684,1.825996859,1.766417265,1.861448765,1.956480265,1.854800793,1.753399134,1.944987774,2.096967697,1.974200845,1.991444588,2.041598082,2.071748018,2.07833147,2.044238567,2.080221653,1.99613142,1.760586619,1.869787812,1.869787812,1.869787812,1.869787812,1.869787812,1.869787812
Austria,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.932839155,1.999985037,2.06694746,2.008330286,1.949713111,2.022133043,2.094355106,2.102962971,2.148104191,1.955382466,1.99113667,2.102521658,1.918079138,1.764009595,1.626625896,1.444870114,1.348617673,1.505501986,1.437439442,1.437439442,1.437439442,1.437439442,1.437439442,1.437439442
Azerbaijan,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.254181266,-1.189442528,-1.124880672,-1.109933496,-1.09498632,-1.074138831,-1.053348303,-0.946838796,-1.111529112,-0.989110589,-0.989630938,-1.017777085,-1.04131341,-1.110044003,-1.179017186,-1.118293881,-1.076373339,-0.90352422,-0.92062974,-0.92062974,-0.92062974,-0.92062974,-0.92062974,-0.92062974
