Country Name,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,-3.002106708,-2.95677085,-2.911434993,-2.866099136,-2.820763279,-2.775427422,-2.730091565,-2.684755708,-2.63941985,-2.594083993,-2.548748136,-2.503412279,-2.458076422,-2.412740565,-2.367404708,-2.32206885,-2.276732993,-2.231397136,-2.186061279,-2.140725422,-2.095389565,-2.050053707,-2.00471785,-1.959381993,-1.896505952,-1.967934735,-2.039168358,-2.00934273,-1.979517102,-1.775131795,-1.571304917,-1.281051397,-1.247892737,-1.179165006,-1.190847874,-1.124618292,-1.236095667,-1.460451245,-1.481581569,-1.404246688,-1.319378972,-1.28825438,-1.161955595,-1.05266485,-1.007328993,-0.961993136,-0.916657279,-0.871321422
Albania,-1.446770761,-1.405852565,-1.36493437,-1.324016175,-1.283097979,-1.242179784,-1.201261589,-1.160343393,-1.119425198,-1.078507003,-1.037588808,-0.996670612,-0.955752417,-0.914834222,-0.873916026,-0.832997831,-0.792079636,-0.75116144,-0.710243245,-0.66932505,-0.628406855,-0.587488659,-0.546570464,-0.505652269,-0.756353974,-0.60499326,-0.4540461,-0.387508214,-0.320970327,-0.18244104,-0.044290248,0.056120474,0.033769593,0.032410435,0.054177932,0.093052283,0.159377471,0.126598909,0.112057611,0.050285105,-0.002466852,0.038708001,0.163576245,0.312711637,0.353629833,0.394548028,0.435466223,0.476384419
Algeria,-1.844181308,-1.820480739,-1.79678017,-1.773079601,-1.749379031,-1.725678462,-1.701977893,-1.678277323,-1.654576754,-1.630876185,-1.607175616,-1.583475046,-1.559774477,-1.536073908,-1.512373338,-1.488672769,-1.4649722,-1.441271631,-1.417571061,-1.393870492,-1.370169923,-1.346469353,-1.322768784,-1.299068215,-1.267225742,-1.321198585,-1.375023961,-1.293112516,-1.211201072,-1.1648948,-1.118715048,-1.136588335,-0.815118015,-0.763326883,-0.923715591,-0.999914706,-0.989559352,-1.05728662,-1.026946187,-1.000295997,-0.897812963,-0.888667643,-0.92858386,-0.825056829,-0.80135626,-0.777655691,-0.753955121,-0.730254552
American Samoa,-1.425618937,-1.362244035,-1.298869132,-1.235494229,-1.172119327,-1.108744424,-1.045369521,-0.981994619,-0.918619716,-0.855244814,-0.791869911,-0.728495008,-0.665120106,-0.601745203,-0.5383703,-0.474995398,-0.411620495,-0.348245593,-0.28487069,-0.221495787,-0.158120885,-0.094745982,-0.031371079,0.032003823,0.095378726,0.158753628,0.222128531,0.285503434,0.348878336,0.412253239,0.475628142,0.539003044,0.473211586,0.637373388,0.583288908,1.007130384,1.003920317,0.995612085,1.023958206,1.047435284,1.059504867,1.044215083,1.236126973,1.299501876,1.362876778,1.426251681,1.489626584,1.553001486
Andorra,1.803093704,1.79100972,1.778925735,1.76684175,1.754757766,1.742673781,1.730589796,1.718505812,1.706421827,1.694337842,1.682253858,1.670169873,1.658085888,1.646001904,1.633917919,1.621833934,1.60974995,1.597665965,1.58558198,1.573497996,1.561414011,1.549330026,1.537246042,1.525162057,1.540903926,1.5197059,1.498565793,1.499967456,1.501369119,1.444285551,1.38735795,1.302482963,1.47602582,1.449135423,1.342189074,1.321645975,1.345983863,1.327729344,1.333664536,1.369120717,1.427852154,1.404860377,1.189276099,1.283482364,1.271398379,1.259314395,1.24723041,1.235146425
Angola,-2.178171179,-2.150683419,-2.123195659,-2.095707898,-2.068220138,-2.040732378,-2.013244617,-1.985756857,-1.958269097,-1.930781336,-1.903293576,-1.875805816,-1.848318055,-1.820830295,-1.793342535,-1.765854774,-1.738367014,-1.710879254,-1.683391493,-1.655903733,-1.628415973,-1.600928212,-1.573440452,-1.545952692,-1.640716434,-1.53781811,-1.43520093,-1.455690622,-1.476180315,-1.356425778,-1.236998439,-1.265635252,-1.275747418,-1.23792851,-1.236350656,-1.167480588,-1.125881314,-1.131708026,-1.118853211,-1.122424245,-1.071315765,-1.120311975,-1.137759089,-0.996197485,-0.968709725,-0.941221964,-0.913734204,-0.886246444
Anguilla,0.238741091,0.259372224,0.280003357,0.30063449,0.321265623,0.341896756,0.362527889,0.383159022,0.403790155,0.424421288,0.445052421,0.465683555,0.486314688,0.506945821,0.527576954,0.548208087,0.56883922,0.589470353,0.610101486,0.630732619,0.651363752,0.671994885,0.692626018,0.713257151,0.733888284,0.754519417,0.77515055,0.795781684,0.816412817,0.83704395,0.857675083,0.878306216,0.812729955,0.879386663,1.043881655,1.007130384,1.003920317,0.995612085,1.023958206,1.047435284,1.059504867,1.044215083,1.10524868,1.125879813,1.146510946,1.167142079,1.187773212,1.208404345
Antigua and Barbuda,-0.281881365,-0.259066453,-0.236251541,-0.213436629,-0.190621717,-0.167806805,-0.144991893,-0.122176981,-0.099362069,-0.076547157,-0.053732245,-0.030917333,-0.008102421,0.014712491,0.037527403,0.060342314,0.083157226,0.105972138,0.12878705,0.151601962,0.174416874,0.197231786,0.220046698,0.24286161,0.290356219,0.292647213,0.294931948,0.32377845,0.352624953,0.326878631,0.301202655,0.272683442,0.561780393,0.545929074,0.657842636,0.567539573,0.601382077,0.599762797,0.512558341,0.525510132,0.657050848,0.64655596,0.61818856,0.699159849,0.721974761,0.744789673,0.767604585,0.790419497
Argentina,0.166657589,0.170061458,0.173465328,0.176869198,0.180273068,0.183676937,0.187080807,0.190484677,0.193888547,0.197292417,0.200696286,0.204100156,0.207504026,0.210907896,0.214311765,0.217715635,0.221119505,0.224523375,0.227927245,0.231331114,0.234734984,0.238138854,0.241542724,0.244946593,0.294570923,0.230048667,0.165702701,0.23617892,0.306655139,0.23542843,0.164396331,0.328085482,0.339380234,0.241150841,0.360546082,0.412575573,0.307271689,0.244710147,0.330236524,0.315690905,0.257652491,0.236748397,0.293691099,0.313023989,0.316427859,0.319831729,0.323235598,0.326639468
Armenia,-0.180603526,-0.193617011,-0.206630497,-0.219643982,-0.232657468,-0.245670954,-0.258684439,-0.271697925,-0.28471141,-0.297724896,-0.310738382,-0.323751867,-0.336765353,-0.349778838,-0.362792324,-0.375805809,-0.388819295,-0.401832781,-0.414846266,-0.427859752,-0.440873237,-0.453886723,-0.466900209,-0.479913694,-0.734484553,-0.558349104,-0.3826949,-0.398263797,-0.413832694,-0.450672275,-0.487411201,-0.503084898,-0.571844339,-0.595148504,-0.741709054,-0.758904934,-0.857067049,-0.883241177,-0.845182061,-0.679401577,-0.5784446,-0.600399971,-0.55078572,-0.740183406,-0.753196891,-0.766210377,-0.779223863,-0.792237348
