Country Name,1972-01-01 00:00:00,1973-01-01 00:00:00,1974-01-01 00:00:00,1975-01-01 00:00:00,1976-01-01 00:00:00,1977-01-01 00:00:00,1978-01-01 00:00:00,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00
Afghanistan,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.896505952,-1.967934735,-2.039168358,-2.00934273,-1.979517102,-1.775131795,-1.571304917,-1.281051397,-1.247892737,-1.179165006,-1.190847874,-1.124618292,-1.236095667,-1.460451245,-1.481581569,-1.404246688,-1.319378972,-1.28825438,-1.161955595,-1.161955595,-1.161955595,-1.161955595,-1.161955595,-1.161955595
Albania,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.756353974,-0.60499326,-0.4540461,-0.387508214,-0.320970327,-0.18244104,-0.044290248,0.056120474,0.033769593,0.032410435,0.054177932,0.093052283,0.159377471,0.126598909,0.112057611,0.050285105,-0.002466852,0.038708001,0.163576245,0.163576245,0.163576245,0.163576245,0.163576245,0.163576245
Algeria,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.267225742,-1.321198585,-1.375023961,-1.293112516,-1.211201072,-1.1648948,-1.118715048,-1.136588335,-0.815118015,-0.763326883,-0.923715591,-0.999914706,-0.989559352,-1.05728662,-1.026946187,-1.000295997,-0.897812963,-0.888667643,-0.92858386,-0.92858386,-0.92858386,-0.92858386,-0.92858386,-0.92858386
American Samoa,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.473211586,0.637373388,0.583288908,1.007130384,1.003920317,0.995612085,1.023958206,1.047435284,1.059504867,1.044215083,1.044215083,1.044215083,1.044215083,1.044215083,1.044215083,1.044215083
Andorra,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.540903926,1.5197059,1.498565793,1.499967456,1.501369119,1.444285551,1.38735795,1.302482963,1.47602582,1.449135423,1.342189074,1.321645975,1.345983863,1.327729344,1.333664536,1.369120717,1.427852154,1.404860377,1.189276099,1.189276099,1.189276099,1.189276099,1.189276099,1.189276099
Angola,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.640716434,-1.53781811,-1.43520093,-1.455690622,-1.476180315,-1.356425778,-1.236998439,-1.265635252,-1.275747418,-1.23792851,-1.236350656,-1.167480588,-1.125881314,-1.131708026,-1.118853211,-1.122424245,-1.071315765,-1.120311975,-1.137759089,-1.137759089,-1.137759089,-1.137759089,-1.137759089,-1.137759089
Anguilla,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.812729955,0.879386663,1.043881655,1.007130384,1.003920317,0.995612085,1.023958206,1.047435284,1.059504867,1.044215083,1.044215083,1.044215083,1.044215083,1.044215083,1.044215083,1.044215083
Antigua and Barbuda,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.290356219,0.292647213,0.294931948,0.32377845,0.352624953,0.326878631,0.301202655,0.272683442,0.561780393,0.545929074,0.657842636,0.567539573,0.601382077,0.599762797,0.512558341,0.525510132,0.657050848,0.64655596,0.61818856,0.61818856,0.61818856,0.61818856,0.61818856,0.61818856
Argentina,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.294570923,0.230048667,0.165702701,0.23617892,0.306655139,0.23542843,0.164396331,0.328085482,0.339380234,0.241150841,0.360546082,0.412575573,0.307271689,0.244710147,0.330236524,0.315690905,0.257652491,0.236748397,0.293691099,0.293691099,0.293691099,0.293691099,0.293691099,0.293691099
Armenia,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.734484553,-0.558349104,-0.3826949,-0.398263797,-0.413832694,-0.450672275,-0.487411201,-0.503084898,-0.571844339,-0.595148504,-0.741709054,-0.758904934,-0.857067049,-0.883241177,-0.845182061,-0.679401577,-0.5784446,-0.600399971,-0.55078572,-0.55078572,-0.55078572,-0.55078572,-0.55078572,-0.55078572
Aruba,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,0.699557126,1.121399999,1.043881655,1.007130384,1.003920317,1.228653312,1.25685811,1.257269621,1.257616162,1.247920394,1.240638494,1.240638494,1.240638494,1.240638494,1.240638494,1.240638494
Australia,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.46167922,1.448644892,1.435646176,1.475211442,1.514776707,1.468852128,1.423053026,1.4346174,1.522321105,1.524686098,1.420718312,1.397411466,1.401239395,1.403905869,1.443473816,1.477413893,1.503630638,1.438162923,1.374988317,1.374988317,1.374988317,1.374988317,1.374988317,1.374988317
