NS_code_from_gini,Nation_State,T_HDI_Mean_plus_5,T_HDI_Trend_plus_5,T_State_Fail_yr_1,T_State_Fail_plus_5,T_State_Fail_yr_5,year0,CWGI_Poli_Stabl_Mean_minus_4,CWGI_Poli_Stabl_Trend_minus_4,CWGI_RoL_Mean_minus_4,CWGI_RoL_Trend_minus_4,E_GINI_Mean_minus_4,E_GINI_Trend_minus_4,PCPI_std_Mean_minus_4,PCPI_std_Trend_minus_4,PWGI_Corrupt_Ctrl_Mean_minus_4,PWGI_Corrupt_Ctrl_Trend_minus_4,PWGI_Voice_Acct_Mean_minus_4,PWGI_Voice_Acct_Trend_minus_4
AFG,Afghanistan,,,,,,2019,-2.442919557,0.000182993,-1.802838307,-0.001501448,31.86551916,0.278589782,-1.541378518,-0.030285307,-1.300073028,0.024895015,-0.961993136,0.045335857
ALB,Albania,,,,,,2019,0.191687116,0.042261654,-0.263404225,0.044494401,30.67804997,0.068211441,-0.278456919,0.012148253,-0.438230863,0.026673394,0.394548028,0.040918195
DZA,Algeria,,,,,,2019,-0.908703434,0.043574319,-0.498922392,0.027103573,24.25530091,-0.523720023,-0.546709521,0.021991568,-0.384579475,0.022022667,-0.777655691,0.023700569
AGO,Angola,,,,,,2019,0.50256002,0.133880618,-1.068377175,0.031327643,43.34057696,-0.306911907,-1.282810861,0.043743976,-1.368903175,-0.00438306,-0.941221964,0.02748776
ARG,Argentina,,,,,,2019,0.053133272,0.014939599,-1.032591642,-0.041859696,41.87007579,1.468075787,-0.321562563,0.064274588,-0.584768458,-0.01513343,0.319831729,0.00340387
ARM,Armenia,,,,,,2019,0.330845695,0.047167919,-0.366897875,0.003172444,32.96740258,0.218754623,-0.420189637,0.020543125,-0.522090153,0.006413168,-0.766210377,-0.013013486
AUS,Australia,,,,,,2019,0.840314351,-0.014918182,1.811744471,0.004938426,35.05102472,0.639475793,1.886005085,0.068592646,2.037173983,0.008121835,1.425123347,-0.002162672
AUT,Austria,,,,,,2019,1.301106218,0.012363648,1.887360041,0.002951281,28.38599151,-0.414008488,1.735039327,0.066164888,1.439805223,-0.035365157,1.441279382,0.00344848
AZE,Azerbaijan,,,,,,2019,-0.339409303,0.036498449,-0.584634268,0.024995064,42.41927202,0.385511654,-0.713242682,-0.01126643,-0.96276703,0.008826404,-1.411762015,-0.023559741
BHS,"Bahamas, The",,,,,,2019,0.985941788,0.000817008,0.573465751,-0.040328188,50.2366809,0.056515861,1.167406216,-0.05183287,1.373117087,0.001339169,0.944765238,-0.009291651
BHR,Bahrain,,,,,,2019,-0.966561913,-0.053715373,0.541410651,0.007369258,59.6,0,-0.108857076,-0.159648676,0.371264776,0.002823195,-1.189254462,-0.01933335
