NS_code_from_gini,Nation_State,T_HDI_Mean_plus_5,T_HDI_Trend_plus_5,T_State_Fail_yr_1,T_State_Fail_plus_5,T_State_Fail_yr_5,year0,CWGI_Poli_Stabl_Mean_minus_4,CWGI_Poli_Stabl_Trend_minus_4,CWGI_RoL_Mean_minus_4,CWGI_RoL_Trend_minus_4,E_GINI_Mean_minus_4,E_GINI_Trend_minus_4,PCPI_std_Mean_minus_4,PCPI_std_Trend_minus_4,PWGI_Corrupt_Ctrl_Mean_minus_4,PWGI_Corrupt_Ctrl_Trend_minus_4,PWGI_Voice_Acct_Mean_minus_4,PWGI_Voice_Acct_Trend_minus_4
AFG,Afghanistan,0.494,0.0018,1,1,,2015,-2.456141249,0.001402935,-1.732489293,0.045886964,32.32000553,-0.120114999,-1.597049703,-0.053554574,-1.414473177,0.047998702,-1.245300097,0.086058705
ALB,Albania,0.78975,0.0011,0,,,2015,0.037753237,0.142273773,-0.470352113,0.046458126,29.93401517,0.405701206,-0.496381478,0.028069959,-0.626451843,0.04821843,0.112562827,0.069089616
DZA,Algeria,0.75775,0.0013,0,,,2015,-1.20690693,0.088476308,-0.695628139,0.046426466,26.53987658,-0.638805713,-0.520411892,0.007407932,-0.496278995,-0.00048995,-0.908083458,0.031970744
AGO,Angola,0.5735,0.001,0,,,2015,-0.233049036,0.129781511,-1.206285643,0.04134729,44.56822458,-0.306911907,-1.143426068,-0.096487497,-1.354327311,-0.020123329,-1.089601712,0.01860102
ARG,Argentina,0.83,0.0004,0,,,2015,0.073427411,-0.024090313,-0.777548154,-0.091430416,41.161,-0.709,-0.480785487,-0.011682975,-0.496880723,-0.03993362,0.283361376,0.003070478
ARM,Armenia,0.75725,0.0029,1,1,,2015,0.025058926,0.033068809,-0.366328263,0.017921198,30.7,0.79,-0.445413487,0.073932517,-0.513840431,0.02109963,-0.629843055,-0.009390478
AUS,Australia,0.937,0.001,0,,,2015,0.978704411,-0.003252393,1.794120935,0.030231181,34.85062107,0.943,2.007519917,-0.124243585,1.945531564,-0.024492629,1.444728892,-0.022457273
AUT,Austria,0.91225,0.0017,0,,,2015,1.282863317,0.016631804,1.86396752,0.025639922,30.62,-0.06,1.509008083,-0.01155714,1.44939295,0.022015261,1.440405699,-0.004114154
AZE,Azerbaijan,0.75225,0.0017,1,1,,2015,-0.507204556,0.04113226,-0.716440243,0.065331142,40.8772254,0.385511654,-0.764074515,0.033396587,-0.999848204,0.043149168,-1.331471569,-0.042041713
BHS,"Bahamas, The",0.8035,0.0016,0,,,2015,1.078065706,-0.037771224,0.609719279,0.021518263,50.01061746,0.056515861,1.418514845,-0.052623945,1.344945489,-0.002705182,0.959336454,0.017599976
BHR,Bahrain,0.8385,-0.0004,0,,,2015,-1.048627164,0.03982235,0.399045594,0.044238489,59.6,0,0.370663533,-0.029881522,0.349408324,0.016459127,-1.267737548,0.014738281
BGD,Bangladesh,0.609,0.005,0,,,2015,-1.386440818,-0.009642641,-0.786409623,0.009165388,32.25001369,0.050018257,-0.83821722,-0.048870489,-0.974352298,-0.025384274,-0.428231397,-0.043288269
BRB,Barbados,0.81325,-0.0003,0,,,2015,1.281560351,0.009561064,1.031703787,0.011735903,39.42987876,-1.857215487,0.977168308,-0.172279054,1.50058434,-0.128925062,1.176638156,-0.014541716
BLR,Belarus,0.81525,0.0017,0,,,2015,0.027782926,0.065831264,-0.954224689,0.014544497,26.62,-0.25,-0.658387343,0.048951086,-0.527524662,0.055938536,-1.587201296,-0.013906513
BEL,Belgium,0.9175,0.0014,0,,,2015,0.835982184,-0.063168861,1.427506039,0.01567311,27.82,-0.02,1.653356136,0.016738179,1.565460628,-0.005655748,1.362219269,0.006833632
BLZ,Belize,0.72025,-0.0005,0,,,2015,0.116404747,-0.036106882,-0.533940453,-0.0396579,39.40178571,-1.076785714,-0.459788001,0.017494521,-0.120906318,-0.003218622,0.636862683,-0.035420788
BEN,Benin,0.51675,0.0029,0,,,2015,0.202983414,-0.067141042,-0.659897066,-0.006144435,45.17679562,1.17079927,-0.351838971,0.061195125,-0.784106267,-0.002585846,0.15488884,0.025119186
BTN,Bhutan,0.61475,0.0023,0,,,2015,0.895525852,0.050061801,0.242593305,0.04572348,38.43592338,-0.196000008,0.999603255,0.029030614,0.925505653,0.091823455,-0.272354383,0.04825054
BOL,Bolivia,0.6995,0.0036,0,,,2015,-0.455049602,-0.021777828,-1.091973418,-0.054412466,46.96,0.24,-0.188329224,0.075459121,-0.612191166,-0.005239155,-0.102354545,-0.001093665
BIH,Bosnia and Herzegovina,0.7675,0.0014,0,,,2015,-0.449612379,0.128783469,-0.243014849,0.019490038,33.15031609,0.076903712,-0.196752484,0.017667892,-0.278205005,0.005836146,-0.128131041,0.040820709
BWA,Botswana,0.72475,0.0031,0,,,2015,1.058189452,-0.00448308,0.640313352,0.000617845,52.456,0.422115553,-0.550723247,-0.391905942,0.929462283,-0.000394184,0.434586186,-0.013093706
BRA,Brazil,0.75975,0.0013,0,,,2015,-0.093801028,0.005059571,-0.088208017,-0.020727597,52.24,-0.44,1.193240941,0.26333555,-0.110029627,-0.084659834,0.448934856,0.01550431
BRN,Brunei Darussalam,0.84425,0.0005,0,,,2015,1.109136832,0.052066589,0.683121708,-0.079715186,56.4,0,0.958051358,0.120771507,0.72093575,-0.027806592,-0.587494832,-0.032877174
BGR,Bulgaria,0.81425,0.0015,0,,,2015,0.225551856,-0.029022574,-0.100217151,0.02682839,36.26,0.68,-0.134719865,0.061513861,-0.23661255,0.012109582,0.393703053,0.005004872
BFA,Burkina Faso,0.42925,0.0047,1,1,,2015,-0.63040242,0.016147318,-0.416176891,0.017415515,36.0429083,-1.057831017,-0.303905454,0.048521771,-0.515333155,-0.035008129,-0.317968609,0.004396079
BDI,Burundi,0.4235,-0.001,0,,,2015,-1.36370316,0.207255496,-1.016657188,0.056304906,37.79930709,0.015234346,-1.130920391,-0.009263575,-1.256668653,0.016690801,-0.877415649,0.052330175
CPV,Cabo Verde,0.6485,0.0022,0,,,2015,0.67760386,-0.049980833,0.481917006,-0.002949658,44.43497953,-0.550973928,0.582766615,-0.019536475,0.882253426,0.057912821,0.933113217,-0.010305804
KHM,Cambodia,0.578,0.003,0,,,2015,-0.133864529,0.077284939,-0.984656191,0.004295003,31.73832097,0.11151299,-0.110232347,0.248079068,-1.106821719,0.005504402,-0.986329756,-0.029547231
CMR,Cameroon,0.5605,0.0024,1,1,,2015,-0.639454515,-0.001479883,-0.998031394,0.035629435,45.16196512,-0.352129517,-1.020341281,-0.048896079,-1.155027757,0.010154714,-1.029401765,0.006803455
CAN,Canada,0.92125,0.0007,0,,,2015,1.077469573,0.002512846,1.790418413,0.030068674,36.20714286,-0.05547619,2.172972236,-0.012312647,1.893614184,-0.040431203,1.422374964,-0.007888663
CAF,Central African Republic,0.3775,0.0032,1,1,,2015,-2.151479186,-0.172730805,-1.562113534,-0.079447328,43.69122958,-0.685411096,1.411560089,0.561925549,-0.968254843,-0.039235815,-1.335020848,-0.06463817
TCD,Chad,0.40025,0.0009,0,,,2015,-1.308215851,-0.091144985,-1.381202536,0.020874722,44.17521028,0.437562552,-0.999339425,0.030572113,-1.295135074,-0.03403744,-1.381429316,-0.022414519
CHL,Chile,0.8455,0.0014,0,,,2015,0.444089447,0.033031164,1.378901829,0.015250613,47.51004104,0.02497948,0.095741097,-0.376300341,1.509739099,-0.020005848,1.104387515,0.030767982
CHN,China,0.7545,0.0032,0,,,2015,-0.555958798,0.00787241,-0.41456088,0.013294382,40.42,-1.06,-0.572295009,-0.052384248,-0.45922695,0.012106363,-1.597192093,-0.018216904
COL,Colombia,0.76025,0.0007,0,1,,2015,-1.305267906,-0.010926628,-0.343842568,0.012043462,52.56,-0.48,-0.711672698,-0.119739433,-0.370087777,0.007674823,-0.078825363,0.020223225
COM,Comoros,0.538,0.0002,0,,,2015,-0.401942867,-0.036759506,-0.984262884,0.018190825,45.63024972,-0.969380447,0.427011991,0.263446686,-0.649047841,0.050739197,-0.431442448,0.032377485
COG,"Congo, Rep.",0.60975,-0.0015,1,1,,2015,-0.363091636,0.054413706,-1.094842959,0.030298018,49.43344461,0.266711873,-0.450375979,0.129190074,-1.165574517,-0.017522218,-1.099230356,0.021038191
COD,"Congo, Dem. Rep.",0.45675,0.0021,1,1,,2015,-2.166838768,0.04299495,-1.529725051,0.061465668,42.09174861,-0.009678305,-0.990181514,-0.0181158,-1.284118935,0.054062143,-1.422779673,0.060890311
CRI,Costa Rica,0.79225,0.0017,0,,,2015,0.594755168,0.008918913,0.46668769,0.00553494,48.72,-0.06,0.219163808,-0.039907934,0.604670953,0.004330008,1.053988364,-0.003831884
HRV,Croatia,0.83525,0.0017,0,,,2015,0.640217016,0.044684944,0.269779757,0.048733155,32,-0.28,0.420258786,0.078159722,0.1108523,0.080493409,0.525621092,0.039137622
CUB,Cuba,0.776,0.0022,0,,,2015,0.417991086,0.074796786,-0.604905768,0.014035647,30.65764565,0.02975743,0.828411288,0.155191983,0.201454126,-0.060382731,-1.494231212,-0.024779475
CYP,Cyprus,0.8715,0.0014,0,,,2015,0.623278756,0.019912625,1.064525999,0.017096378,34.7,0.41,0.531338751,-0.070189615,1.073597774,-0.009108677,1.018434711,-0.001151495
CZE,Czech Republic,0.88875,0.0021,0,,,2015,1.042697479,-0.015252207,1.040496313,0.015472304,26.16,-0.12,1.496332678,0.350544789,0.246548362,-0.010196501,0.989884104,0.008840903
DNK,Denmark,0.92925,0.0007,0,,,2015,0.952670294,-0.043322617,1.947273072,0.036620911,28.04,0.24,0.040571792,-0.609589486,2.388430905,-0.018114734,1.633427958,-0.004798122
